time (s),altitude (m)
249000.0,406285.7656502798
250000.0,404532.95269486215
251000.0,395473.1644326281
252000.0,389548.0768849645
253000.0,393611.99156032223
254000.0,402952.11133820936
255000.0,406784.6106968876
256000.0,400698.58452859614
257000.0,391692.9824709371
258000.0,390168.0622409573
259000.0,397885.29353305325
260000.0,405912.48571355455
261000.0,404999.6373009868
262000.0,396192.4958685236
263000.0,389638.2128942255
264000.0,392917.6900139423
265000.0,402226.2081861878
266000.0,406812.1366216596
267000.0,401397.19851138815
268000.0,392207.0152977798
269000.0,389851.5509443339
270000.0,397054.38890219387
271000.0,405475.8108092593
272000.0,405408.4958971683
273000.0,396926.1453140555
274000.0,389798.45125289634
275000.0,392268.2165875677
276000.0,401468.27153932676
277000.0,406768.23533383664
278000.0,402067.1726884702
279000.0,392768.43615622725
280000.0,389603.7513880171
281000.0,396234.01839027554
282000.0,404979.7782110255
283000.0,405756.3960056156
284000.0,397667.3070277469
285000.0,390026.45309332386
286000.0,391667.97081038076
287000.0,400684.24369018804
288000.0,406653.06151585653
289000.0,402702.3646162683
290000.0,393371.7303921012
291000.0,389426.10571223777
292000.0,395430.65244642086
293000.0,404428.26840464585
294000.0,406040.22153358534
295000.0,398409.4670985583
296000.0,390319.41004746873
297000.0,391121.38391983416
298000.0,399880.43286961596
299000.0,406467.8360473942
300000.0,403297.52098812815
301000.0,394011.4315414503
302000.0,389319.4548071306
303000.0,394650.5719057843
304000.0,403825.77549953666
305000.0,406257.540234047
306000.0,399146.0737205725
307000.0,390674.5326743936
308000.0,390632.47627266776
309000.0,399063.0617781002
310000.0,406213.77923885174
311000.0,403847.93343017995
312000.0,394682.0463509634
313000.0,389283.8440065244
314000.0,393899.1029663924
315000.0,403176.6474529393
316000.0,406406.8678828832
317000.0,399871.35512516275
318000.0,391088.3807828864
319000.0,390204.58854832407
320000.0,398238.3932154225
321000.0,405892.7529152101
322000.0,404348.51754057873
323000.0,395377.3963423595
324000.0,389319.09922744986
325000.0,393182.4306685785
326000.0,402486.3254428245
327000.0,406486.545846506
328000.0,400578.5239617415
329000.0,391556.85230718274
330000.0,389840.66152091883
331000.0,397413.0662901215
332000.0,405507.77930207085
333000.0,404795.2737343777
334000.0,396090.9958306253
335000.0,389423.9171025222
336000.0,392506.05198706686
337000.0,401760.6789974347
338000.0,406496.1267751111
339000.0,401261.1941131968
340000.0,392074.92462037597
341000.0,389543.04276905674
342000.0,396593.7269275449
343000.0,405061.9016143
344000.0,405184.4473508857
345000.0,396816.7304456746
346000.0,389596.66807585675
347000.0,391874.25429986045
348000.0,401004.77922144625
349000.0,406436.0956908148
350000.0,401914.9755746117
351000.0,392638.2238551434
352000.0,389312.64901530836
353000.0,395785.817121041
354000.0,404558.73464419786
355000.0,405513.4916218743
356000.0,397548.66977127176
357000.0,389835.3043254344
358000.0,391291.80421886686
359000.0,400224.709244594
360000.0,406306.2289829133
361000.0,402533.2885182733
362000.0,393241.62154363375
363000.0,389151.5450983867
364000.0,394995.7523855828
365000.0,404001.723368424
366000.0,405778.9410875896
367000.0,398280.197362463
368000.0,390137.38288989384
369000.0,390763.19102497026
370000.0,399426.59681911115
371000.0,406107.52904917113
372000.0,403111.09253048897
373000.0,393879.48589363415
374000.0,389060.18957743887
375000.0,394229.95746392943
376000.0,403395.7746755583
377000.0,405978.8481108332
378000.0,399004.991450578
379000.0,390499.4632926015
380000.0,390291.543477091
381000.0,398616.5364943752
382000.0,405842.27013772447
383000.0,403644.0997875724
384000.0,394546.0830532862
385000.0,389038.23102936894
386000.0,393493.6893804874
387000.0,402745.63438507915
388000.0,406111.7359009553
389000.0,399716.80666342657
390000.0,390917.93455553707
391000.0,389880.43389619794
392000.0,397801.159015459
393000.0,405512.3272394324
394000.0,404127.47455664165
395000.0,395235.1415986875
396000.0,389084.9912108863
397000.0,392792.6323053567
398000.0,402056.5791141195
399000.0,406176.69941834174
400000.0,400409.75530804694
401000.0,391388.5020264806
402000.0,389532.02756829467
403000.0,396986.1602720702
404000.0,405120.24339404143
405000.0,404557.6140504442
406000.0,395941.5252203597
407000.0,389199.7776278164
408000.0,392131.21715394687
409000.0,401333.31704310887
410000.0,406173.23261918593
411000.0,401078.62135051936
412000.0,391907.47618149966
413000.0,389248.75366788544
414000.0,396177.71952447016
415000.0,404668.97697589174
416000.0,404930.9695595391
417000.0,396658.7178908074
418000.0,389380.8501781067
419000.0,391514.56452030595
420000.0,400581.43587574083
421000.0,406101.01692235377
422000.0,401717.5003865231
423000.0,392469.96371051203
424000.0,389031.952519848
425000.0,395381.49756984785
426000.0,404161.88457313366
427000.0,405244.7633508267
428000.0,397380.9898574045
429000.0,389625.9041327713
430000.0,390946.65164498705
431000.0,399806.87402512785
432000.0,405961.12414451316
433000.0,402321.4197470881
434000.0,393070.63365522865
435000.0,388882.57071763556
436000.0,394603.7951885415
437000.0,403603.2718684487
438000.0,405496.20851189736
439000.0,398101.90020571835
440000.0,389932.55401280615
441000.0,390432.076790127
442000.0,399015.8052577302
443000.0,405754.30250330456
444000.0,402884.9246915877
445000.0,393704.0406652782
446000.0,388801.4052799195
447000.0,393850.60207268223
